route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
661,1,661,"Harry Ainlay - Mill Woods",,3,,005087,FFFFFF
662,1,662,"Harry Ainlay - Louis St. Laurent - Century Park",,3,,005087,FFFFFF
663,1,663,"Fr. M. McCaffery - Chappelle",,3,,005087,FFFFFF
664,1,664,"Walker - Dr. Anne Anderson - Fr. M. McCaffery",,3,,005087,FFFFFF
665,1,665,"Charlesworth - Dr. Anne Anderson",,3,,005087,FFFFFF
667,1,667,"Century Park - Dr. Anne Anderson",,3,,005087,FFFFFF
668,1,668,"Chappelle - Dr. Anne Anderson",,3,,005087,FFFFFF
669,1,669,"Keswick - Fr. M. McCaffery",,3,,005087,FFFFFF
671,1,671,"Alex Janvier - WEM - Lewis Farms",,3,,005087,FFFFFF
673,1,673,"Hillcrest - WEM",,3,,005087,FFFFFF
674,1,674,"H.E. Beriault - Lewis Farms",,3,,005087,FFFFFF
675,1,675,"S. Bruce Smith - Cameron Heights",,3,,005087,FFFFFF
676,1,676,"Alex Janvier - St. Thomas More - La Perle",,3,,005087,FFFFFF
678,1,678,"Jasper Place - Alex Janvier - Lewis Farms",,3,,005087,FFFFFF
681,1,681,"Ross Sheppard - A. MacDonald - Lewis Farms",,3,,005087,FFFFFF
682,1,682,"Ross Sheppard - Archbishop MacDonald - Leger",,3,,005087,FFFFFF
683,1,683,"Arch MacDonald - Ross Sheppard - Castle Downs",,3,,005087,FFFFFF
684,1,684,"Archbishop MacDonald - Ross Sheppard - Lago Lindo",,3,,005087,FFFFFF
685,1,685,"Ross Sheppard - A. MacDonald - Lewis Farms",,3,,005087,FFFFFF
691,1,691,"Amiskwaciy - Kingsway",,3,,005087,FFFFFF
692,1,692,"Victoria School - WEM",,3,,005087,FFFFFF
700X,1,700X,"Century Park - Heritage Valley",,3,,F37727,000000
701,1,701,"Southgate - Kingsway",,3,,005087,FFFFFF
702,1,702,"Southgate - South Campus",,3,,005087,FFFFFF
703,1,703,"Leger - South Campus",,3,,005087,FFFFFF
704,1,704,"Southgate - Southpark",,3,,005087,FFFFFF
705,1,705,"Century Park - Southgate",,3,,005087,FFFFFF
706,1,706,"Leger - Southgate",,3,,005087,FFFFFF
707,1,707,"Century Park - Southgate",,3,,005087,FFFFFF
708,1,708,"Century Park - Southgate",,3,,005087,FFFFFF
709,1,709,"Century Park - Southgate",,3,,005087,FFFFFF
712,1,712,"Century Park - Yellowbird",,3,,005087,FFFFFF
713,1,713,"Century Park - Twin Brooks",,3,,005087,FFFFFF
715,1,715,"Leger - Century Park",,3,,005087,FFFFFF
716,1,716,"Leger - Century Park",,3,,005087,FFFFFF
717,1,717,"Leger - Century Park",,3,,005087,FFFFFF
718,1,718,"Leger - Century Park",,3,,005087,FFFFFF
719,1,719,"Century Park - Chappelle",,3,,005087,FFFFFF
721,1,721,"Century Park - Rutherford - Desrochers",,3,,005087,FFFFFF
722,1,722,"Century Park - Rutherford - Allard",,3,,005087,FFFFFF
723,1,723,"University - Parkallen",,3,,005087,FFFFFF
724,1,724,"Leger - Brander Gardens - South Campus",,3,,005087,FFFFFF
725,1,725,"Southgate - Lendrum",,3,,005087,FFFFFF
726,1,726,"University - Windsor Park - Belgravia",,3,,005087,FFFFFF
727,1,727,"Heritage Valley - Chappelle",,3,,005087,FFFFFF
747,1,747,"Century Park - Edmonton International Airport",,3,,005087,FFFFFF
900X,1,900X,"Lewis Farms - Downtown",,3,,F37727,000000
901,1,901,"Jasper Place - Downtown",,3,,005087,FFFFFF
902,1,902,"NAIT - University",,3,,005087,FFFFFF
903,1,903,"Jasper Place - Kingsway",,3,,005087,FFFFFF
904,1,904,"West Edmonton Mall - Westmount",,3,,005087,FFFFFF
905,1,905,"Northgate - Westmount",,3,,005087,FFFFFF
906,1,906,"West Edmonton Mall - Westmount",,3,,005087,FFFFFF
907,1,907,"West Edmonton Mall - Westmount",,3,,005087,FFFFFF
908,1,908,"Jasper Place - Westmount",,3,,005087,FFFFFF
909,1,909,"Jasper Place - Westmount",,3,,005087,FFFFFF
910X,1,910X,"West Lymburn - Lessard - South Campus",,3,,F37727,000000
912,1,912,"Lewis Farms - Jasper Place",,3,,005087,FFFFFF
913,1,913,"West Edmonton Mall - Jamieson Place",,3,,005087,FFFFFF
914,1,914,"West Edmonton Mall - Jasper Place",,3,,005087,FFFFFF
915,1,915,"West Edmonton Mall - Jasper Place",,3,,005087,FFFFFF
916,1,916,"West Edmonton Mall - Lewis Farms",,3,,005087,FFFFFF
917,1,917,"West Edmonton Mall - Lewis Farms",,3,,005087,FFFFFF
918,1,918,"West Edmonton Mall - Lessard",,3,,005087,FFFFFF
919,1,919,"Lewis Farms - Secord",,3,,005087,FFFFFF
920X,1,920X,"Lewis Farms - University Express",,3,,F37727,000000
921,1,921,"Jasper Place - Westview Village",,3,,005087,FFFFFF
922,1,922,"Lewis Farms - Rosenthal",,3,,005087,FFFFFF
923,1,923,"West Edmonton Mall - Oleskiw",,3,,005087,FFFFFF
924,1,924,"Jasper Place - Rio Terrace",,3,,005087,FFFFFF
925,1,925,"West Edmonton Mall - Jasper Place",,3,,005087,FFFFFF
926,1,926,"Lewis Farms - Stillwater",,3,,005087,FFFFFF
930X,1,930X,"The Grange - South Campus",,3,,F37727,000000
999,1,"Shuttle","Jasper Place - Unity Square Shuttle",,3,,5700AE,FFFFFF
A12,2,A12,"Campbell - Akinsdale",,3,,B1C436,FFFFFF
A13,2,A13,"Akinsdale - Campbell",,3,,002B53,FFFFFF
A14,2,A14,"Sturgeon Hospital - St Albert North",,3,,1188A4,FFFFFF
A21,2,A21,"Heritage Lakes - Riel",,3,,A94A5F,FFFFFF
A22,2,A22,"Riel - Heritage Lakes",,3,,85C440,FFFFFF
A23,2,A23,"Heritage Lakes - Riel",,3,,212060,FFFFFF
A24,2,A24,"Grandin",,3,,D97C28,FFFFFF
A3,2,A3,"Riverside",,3,,,
A31,2,A31,"Heritage Lakes - Grandin",,3,,59B7E8,FFFFFF
A32,2,A32,"Akinsdale - Campbell - Pineview - Forest Lawn",,3,,B63B96,FFFFFF
A33,2,A33,"Sturgeon - Forest Lawn - Woodlands - Braeside",,3,,47AA47,FFFFFF
A4,2,A4,"Lacombe - Deer Ridge",,3,,F06D25,FFFFFF
A5,2,A5,"Deer Ridge - Lacombe",,3,,2D578E,FFFFFF
A6,2,A6,"Deer Ridge - North Ridge",,3,,7B9B3D,FFFFFF
A7,2,A7,"Sturgeon Hospital - Erin Ridge - Oakmont",,3,,E34D94,FFFFFF
A8,2,A8,"Oakmont - Erin Ridge - Sturgeon Hospital",,3,,1E5136,FFFFFF
A9,2,A9,"Sturgeon - Kingswood - Woodlands",,3,,3C58A8,FFFFFF
F600,6,"600","Fort Saskatchewan",,3,,,
F610,6,"610","Westpark",,3,,002D56,FFFFFF
F611,6,"611","Downtown",,3,,D33039,FFFFFF
L1,9,"1","Leduc - Nisku - Edmonton",,3,,E9D33D,000000
L10,9,"10","Leduc - Nisku - EIA",,3,,8080FF,000000
